id_inmueble,fuente,barrio,precio_cop,area_m2,habitaciones,banos,precio_x_m2
ANUTI-39233,Anutibara,AMERICA,7500000,315,5,3,23809.52380952381
ANUTI-21254,Anutibara,AMERICA,1200000,25,0,1,48000.0
ANUTI-36616,Anutibara,AMERICA,2400000,150,2,3,16000.0
ANUTI-39336,Anutibara,ANDALUCIA,2000000,107,4,1,18691.58878504673
ANUTI-31942,Anutibara,ARANJUEZ,1500000,85,3,1,17647.058823529413
ANUTI-39423,Anutibara,ARANJUEZ,950000,43,1,1,22093.023255813954
ANUTI-12543,Anutibara,ARANJUEZ,880000,50,1,1,17600.0
ANUTI-36740,Anutibara,ARANJUEZ,750000,20,1,1,37500.0
ANUTI-24748,Anutibara,ARANJUEZ,1200000,50,2,1,24000.0
ANUTI-14001,Anutibara,ARANJUEZ,1700000,100,4,2,17000.0
ANUTI-36222,Anutibara,ARANJUEZ,850000,50,1,1,17000.0
ANUTI-39250,Anutibara,ARANJUEZ,1180000,48,0,1,24583.333333333332
ANUTI-39231,Anutibara,ARANJUEZ,1200000,45,1,1,26666.666666666668
ANUTI-19077,Anutibara,ARANJUEZ,1200000,55,2,1,21818.18181818182
ANUTI-39115,Anutibara,ARANJUEZ,1200000,45,2,1,26666.666666666668
ANUTI-12775,Anutibara,ARANJUEZ,1250000,60,3,1,20833.333333333332
ANUTI-37912,Anutibara,BELALCAZAR,1300000,49,1,1,26530.61224489796
ANUTI-39391,Anutibara,BELEN,2400000,70,2,1,34285.71428571428
ANUTI-39314,Anutibara,BELEN,2500000,90,3,1,27777.777777777777
ANUTI-39220,Anutibara,BELEN,850000,40,0,1,21250.0
