id_inmueble,fuente,barrio,precio_cop,area_m2,habitaciones,banos,precio_x_m2
PANDA-5008600,Panda Inmobiliaria,Poblado,0,43,0,1,0.0
PANDA-5468246,Panda Inmobiliaria,Central,0,78,2,2,0.0
PANDA-5526756,Panda Inmobiliaria,Sierra Morena,0,2167,0,0,0.0
PANDA-5530632,Panda Inmobiliaria,La Estrella,0,865,0,5,0.0
PANDA-5721628,Panda Inmobiliaria,San Marcos,0,160,4,2,0.0
PANDA-6031294,Panda Inmobiliaria,Centro,0,240,1,2,0.0
PANDA-6044288,Panda Inmobiliaria,La Magnolia,0,120,3,2,0.0
PANDA-6199719,Panda Inmobiliaria,El Portal,0,300,4,5,0.0
PANDA-6248287,Panda Inmobiliaria,Centro,0,153,0,0,0.0
PANDA-6276045,Panda Inmobiliaria,Centro,0,154,0,2,0.0
PANDA-6310684,Panda Inmobiliaria,La Troja,0,1645,0,0,0.0
PANDA-6324143,Panda Inmobiliaria,Cervantes,0,25,0,1,0.0
PANDA-6349240,Panda Inmobiliaria,Centro,0,40,0,1,0.0
PANDA-6349260,Panda Inmobiliaria,Centro,0,40,0,1,0.0
PANDA-6349334,Panda Inmobiliaria,Centro,0,40,0,1,0.0
PANDA-6349341,Panda Inmobiliaria,Centro,0,40,0,1,0.0
PANDA-6434687,Panda Inmobiliaria,Las Casitas,0,37,0,1,0.0
PANDA-6488049,Panda Inmobiliaria,San Isidro,0,200,3,2,0.0
PANDA-6521186,Panda Inmobiliaria,Centro,0,33,0,2,0.0
PANDA-6588111,Panda Inmobiliaria,Poblado,0,68,0,1,0.0
PANDA-6670950,Panda Inmobiliaria,San Marcos,0,60,0,1,0.0
PANDA-6672922,Panda Inmobiliaria,Las Margaritas,0,126,0,2,0.0
PANDA-6721347,Panda Inmobiliaria,La Floresta,0,80,2,2,0.0
PANDA-6757394,Panda Inmobiliaria,Tablaza,0,52,2,2,0.0
PANDA-6772693,Panda Inmobiliaria,Santa Barbara,0,62,2,1,0.0
PANDA-6776672,Panda Inmobiliaria,Las Casitas,0,37,0,1,0.0
PANDA-6808590,Panda Inmobiliaria,Conquistadores,0,140,0,1,0.0
PANDA-6828721,Panda Inmobiliaria,Sabaneta,0,67,2,2,0.0
PANDA-6896256,Panda Inmobiliaria,Centro,0,30,0,1,0.0
PANDA-7047476,Panda Inmobiliaria,El Dorado,0,140,5,2,0.0
PANDA-7069876,Panda Inmobiliaria,Benedictinos,0,455,5,5,0.0
PANDA-7163393,Panda Inmobiliaria,Centro,0,20,0,1,0.0
PANDA-7172296,Panda Inmobiliaria,Altos Del Escobero,0,100,3,2,0.0
PANDA-7184098,Panda Inmobiliaria,Loma Del Escobero,0,525,5,4,0.0
PANDA-7193999,Panda Inmobiliaria,Centro,0,40,0,0,0.0
PANDA-7194013,Panda Inmobiliaria,El Rodeo,0,54,0,0,0.0
PANDA-7204404,Panda Inmobiliaria,Centro,0,125,0,1,0.0
PANDA-7214234,Panda Inmobiliaria,Andalucia,0,160,3,3,0.0
PANDA-7229088,Panda Inmobiliaria,El Dorado,0,62,3,2,0.0
PANDA-7242263,Panda Inmobiliaria,Andalucia,0,50,0,1,0.0
PANDA-7343031,Panda Inmobiliaria,Guayabal,0,80,3,2,0.0
PANDA-7345657,Panda Inmobiliaria,Laureles,0,614,0,0,0.0
PANDA-7397405,Panda Inmobiliaria,Caribe,0,320,0,2,0.0
PANDA-7399855,Panda Inmobiliaria,La Paz,0,42,0,1,0.0
PANDA-7445263,Panda Inmobiliaria,El Dorado,0,30,0,1,0.0
PANDA-7449336,Panda Inmobiliaria,Loma El Atravesado,0,250,3,4,0.0
PANDA-7557068,Panda Inmobiliaria,Loma Del Chocho,0,900,19,0,0.0
PANDA-7656475,Panda Inmobiliaria,Centro,0,15,0,1,0.0
PANDA-7737275,Panda Inmobiliaria,Centro,0,46,0,0,0.0
PANDA-7985302,Panda Inmobiliaria,Centro,0,30,0,1,0.0
PANDA-8016838,Panda Inmobiliaria,ZuÑiga,0,106,2,2,0.0
PANDA-8029268,Panda Inmobiliaria,Guaimaro,0,774,0,4,0.0
PANDA-8069151,Panda Inmobiliaria,Poblado,0,30,0,0,0.0
PANDA-8094706,Panda Inmobiliaria,Poblado,0,350,4,5,0.0
PANDA-8120622,Panda Inmobiliaria,Centro,0,30,0,1,0.0
PANDA-8222405,Panda Inmobiliaria,Gualanday,0,175,3,3,0.0
PANDA-8236726,Panda Inmobiliaria,La Tolva,0,400,0,4,0.0
PANDA-8298914,Panda Inmobiliaria,Centro,800000000,100,0,2,8000000.0
PANDA-8317389,Panda Inmobiliaria,El Carmelo,0,120,0,1,0.0
PANDA-8333700,Panda Inmobiliaria,Las Casitas,0,62,3,2,0.0
PANDA-8333703,Panda Inmobiliaria,Bucarest,0,30,0,1,0.0
PANDA-8401669,Panda Inmobiliaria,Oasis,0,75,3,2,0.0
PANDA-8410424,Panda Inmobiliaria,Centro,0,15,0,1,0.0
PANDA-8426425,Panda Inmobiliaria,Andalucia,0,33,0,1,0.0
PANDA-8430232,Panda Inmobiliaria,Centro,0,243,0,3,0.0
PANDA-8446994,Panda Inmobiliaria,Trianon,0,0,3,2,
PANDA-8464503,Panda Inmobiliaria,Milla De Oro,0,66,0,1,0.0
PANDA-8469013,Panda Inmobiliaria,Fontibon,0,54,2,2,0.0
PANDA-8474007,Panda Inmobiliaria,Guaimaro,0,20,0,1,0.0
PANDA-8474553,Panda Inmobiliaria,Centro,0,12,0,1,0.0
PANDA-8474597,Panda Inmobiliaria,Centro,0,30,0,1,0.0
PANDA-8486518,Panda Inmobiliaria,Medellin,0,260,7,5,0.0
PANDA-8508928,Panda Inmobiliaria,Fontibon,0,58,3,2,0.0
PANDA-8536621,Panda Inmobiliaria,Los Colegios,0,54,2,1,0.0
PANDA-8537778,Panda Inmobiliaria,Centro,0,24,0,0,0.0
PANDA-8574669,Panda Inmobiliaria,El Dorado,0,75,3,2,0.0
PANDA-8576697,Panda Inmobiliaria,Fontibon,0,57,2,2,0.0
PANDA-8589328,Panda Inmobiliaria,La Magnolia,0,85,4,3,0.0
PANDA-8590025,Panda Inmobiliaria,Poblado,0,56,0,1,0.0
PANDA-8996035,Panda Inmobiliaria,Alto Bonito,0,54,2,2,0.0
PANDA-9035949,Panda Inmobiliaria,Poblado,0,236,3,5,0.0
PANDA-9051158,Panda Inmobiliaria,Centro,0,37,0,1,0.0
PANDA-9073389,Panda Inmobiliaria,Trianon,0,120,4,4,0.0
PANDA-9084027,Panda Inmobiliaria,Fontibon,0,57,2,2,0.0
PANDA-9107452,Panda Inmobiliaria,La Mina,0,136,0,1,0.0
PANDA-9120631,Panda Inmobiliaria,Provenza,0,340,8,4,0.0
PANDA-9169285,Panda Inmobiliaria,Poblado,0,125,3,2,0.0
PANDA-9171088,Panda Inmobiliaria,Centro,0,100,0,2,0.0
PANDA-9206382,Panda Inmobiliaria,Fontibon,0,57,3,2,0.0
PANDA-9216400,Panda Inmobiliaria,El Chocho,0,170,0,3,0.0
PANDA-9218530,Panda Inmobiliaria,Centro,0,350,12,5,0.0
PANDA-9218796,Panda Inmobiliaria,Loma De Los Parra,0,147,3,1,0.0
PANDA-9221882,Panda Inmobiliaria,Villagrande,0,120,0,2,0.0
PANDA-9222175,Panda Inmobiliaria,Antioquia Medellín,0,14,0,1,0.0
PANDA-9227075,Panda Inmobiliaria,Santa Maria De Los Angeles,0,51,0,1,0.0
PANDA-9227153,Panda Inmobiliaria,Santa Maria De Los Angeles,0,43,0,1,0.0
PANDA-9247293,Panda Inmobiliaria,Antioquia Sabaneta,0,170,0,2,0.0
PANDA-9269531,Panda Inmobiliaria,El Dorado,0,78,3,2,0.0
PANDA-9275558,Panda Inmobiliaria,La Loma Del Indio,0,150,3,3,0.0
PANDA-9288944,Panda Inmobiliaria,Las Casitas,0,75,3,2,0.0
PANDA-9297145,Panda Inmobiliaria,Barrio Mesa,0,35,0,1,0.0
PANDA-9302799,Panda Inmobiliaria,Poblado,0,84,0,0,0.0
PANDA-9304903,Panda Inmobiliaria,San Marcos,0,180,5,3,0.0
PANDA-9304972,Panda Inmobiliaria,Centro,0,15,0,1,0.0
PANDA-9307553,Panda Inmobiliaria,Centro,0,190,0,2,0.0
PANDA-9310365,Panda Inmobiliaria,Fontibon,0,57,3,2,0.0
PANDA-9316571,Panda Inmobiliaria,Fontibon,0,60,2,2,0.0
PANDA-9319656,Panda Inmobiliaria,Laureles,0,240,4,3,0.0
PANDA-9329491,Panda Inmobiliaria,Fontibon,0,55,3,2,0.0
PANDA-9332402,Panda Inmobiliaria,Barro Blanco,0,65,2,2,0.0
PANDA-9339132,Panda Inmobiliaria,El Porvenir,0,66,2,2,0.0
PANDA-9339173,Panda Inmobiliaria,Porvenir,0,91,3,3,0.0
PANDA-9339243,Panda Inmobiliaria,Barro Blanco,0,68,3,2,0.0
PANDA-9339723,Panda Inmobiliaria,El Dorado,0,166,5,2,0.0
PANDA-9347076,Panda Inmobiliaria,Aguacatala,0,150,3,2,0.0
PANDA-9348811,Panda Inmobiliaria,El Portal,0,20,0,1,0.0
PANDA-9350622,Panda Inmobiliaria,El Porvenir,0,55,1,2,0.0
PANDA-9350676,Panda Inmobiliaria,El Porvenir,0,65,2,2,0.0
PANDA-9350726,Panda Inmobiliaria,El Porvenir,0,90,0,3,0.0
PANDA-9350741,Panda Inmobiliaria,El Porvenir,0,90,3,3,0.0
PANDA-9350765,Panda Inmobiliaria,El Porvenir,0,91,3,3,0.0
PANDA-9350807,Panda Inmobiliaria,San Antonio,0,58,2,2,0.0
PANDA-9354021,Panda Inmobiliaria,Envigado,0,380,4,3,0.0
PANDA-9358071,Panda Inmobiliaria,Alcala,0,65,2,0,0.0
PANDA-9371759,Panda Inmobiliaria,Centro,0,30,0,1,0.0
PANDA-9375315,Panda Inmobiliaria,Centro,0,30,0,1,0.0
PANDA-9378714,Panda Inmobiliaria,Barrio Mesa,0,24,0,1,0.0
PANDA-9382141,Panda Inmobiliaria,Santa Maria De Los Angeles,0,217,8,4,0.0
PANDA-9405735,Panda Inmobiliaria,La Cuenca,0,65,3,2,0.0
PANDA-9408311,Panda Inmobiliaria,Centro,0,40,0,1,0.0
PANDA-9411047,Panda Inmobiliaria,La Magnolia,0,12,0,1,0.0
PANDA-9420323,Panda Inmobiliaria,Aliadas Del Sur,0,859,0,4,0.0
PANDA-9428614,Panda Inmobiliaria,Centro,0,260,5,3,0.0
PANDA-9431078,Panda Inmobiliaria,Los Colegios,0,65,3,2,0.0
PANDA-9431207,Panda Inmobiliaria,El Porvenir,0,65,3,2,0.0
PANDA-9434623,Panda Inmobiliaria,Porvenir,0,78,3,2,0.0
PANDA-9434973,Panda Inmobiliaria,Barro Blanco,0,77,3,2,0.0
PANDA-9449345,Panda Inmobiliaria,Porvenir,0,89,3,3,0.0
PANDA-9451595,Panda Inmobiliaria,Barrio Mesa,0,40,0,1,0.0
PANDA-9452885,Panda Inmobiliaria,Barro Blanco,0,75,3,2,0.0
PANDA-9459122,Panda Inmobiliaria,Barro Blanco,0,65,2,2,0.0
PANDA-9459141,Panda Inmobiliaria,Barro Blanco,0,80,3,2,0.0
PANDA-9465635,Panda Inmobiliaria,Alcala,0,30,0,1,0.0
PANDA-9467978,Panda Inmobiliaria,Porvenir,0,37,1,1,0.0
PANDA-9478119,Panda Inmobiliaria,Poblado,0,97,0,2,0.0
PANDA-9485276,Panda Inmobiliaria,Manila,0,265,0,1,0.0
PANDA-9499858,Panda Inmobiliaria,Itagui,0,73,3,2,0.0
PANDA-9512151,Panda Inmobiliaria,Poblado,0,420,0,3,0.0
PANDA-9513579,Panda Inmobiliaria,Gualanday,0,210,3,3,0.0
PANDA-9552944,Panda Inmobiliaria,Poblado,0,12,0,1,0.0
PANDA-9590192,Panda Inmobiliaria,Centro,0,130,0,2,0.0
PANDA-9611624,Panda Inmobiliaria,Fontibon,0,66,2,2,0.0
PANDA-9615183,Panda Inmobiliaria,Guanteros,0,24,0,1,0.0
PANDA-9639365,Panda Inmobiliaria,Loma Los Mesa,0,291,3,4,0.0
