id_inmueble,fuente,barrio,precio_cop,area_m2,habitaciones,banos,precio_x_m2
SF-A11058,Santa Fe,Calasanz,1800000,53,3,0,33962.264150943396
SF-A12594,Santa Fe,Florida Nueva,5000000,190,7,0,26315.78947368421
SF-A13958,Santa Fe,Conquistadores,3800000,109,3,0,34862.38532110092
SF-A14166,Santa Fe,Laureles,2000000,58,2,0,34482.75862068965
SF-A16474,Santa Fe,Floresta,2390000,150,3,0,15933.333333333334
SF-A1919,Santa Fe,Prado,2000000,120,4,0,16666.666666666668
SF-A20362,Santa Fe,Laureles,2500000,50,2,0,50000.0
SF-A20468,Santa Fe,La Mota,2950000,85,3,0,34705.882352941175
SF-A21297,Santa Fe,Calasanz,4500000,400,4,0,11250.0
SF-A22373,Santa Fe,Santa Monica,2000000,50,2,0,40000.0
SF-A25653,Santa Fe,Santa Monica,1900000,53,2,0,35849.056603773584
SF-A25907,Santa Fe,Conquistadores,3600000,100,4,0,36000.0
