barrio,total_ofertas,avg_precio_m2,ranking_precio
El Salado,8,1329670.3296703296,1
Guayabal,12,930635.343586976,2
Barrio Mesa,48,273151.4960733711,3
Centro,196,112688.2360738743,4
Provenza,8,93382.35294117648,5
LA MILAGROSA,8,70333.33333333334,6
Antioquia Medellín,4,69642.85714285714,7
Villagrande,4,62500.0,8
LAURELES,24,54211.97833043514,9
ENVIGADO,36,51637.89176656528,10
POBLADO,100,51372.50545035345,11
SAN DIEGO,4,49382.71604938272,12
Manila,12,47896.17649995008,13
El Rodeo,4,46296.2962962963,14
Las Palmas,12,45291.45622895623,15
Cervantes,4,44000.0,16
Mesa,4,42500.0,17
PALMITAS,8,41239.316239316235,18
Poblado,124,41225.46456289524,19
SABANETA,24,40961.60161677404,20
VELODROMO,8,40833.60872438863,21
BELEN,60,39712.52333597636,22
Astorga,4,38888.88888888889,23
Bucarest,16,38583.333333333336,24
Santa Monica,14,37924.5283018868,25
Las Casitas,36,37912.267105815496,26
GUAYABAL,8,36988.88888888889,27
CALASANZ,20,36615.1318491744,28
LOS COLORES,12,36439.96382620134,29
Vía San Antonio - La Ceja,4,35000.0,30
La Mota,7,34705.882352941175,31
Medellin,4,34615.38461538462,32
Loma Los Mesa,4,34364.26116838488,33
SAN PABLO,8,34166.66666666667,34
SIMON BOLIVAR,4,34166.666666666664,35
Antioquia Sabaneta,4,33823.529411764706,36
Conquistadores,18,33589.34032328528,37
CONQUISTADORES,20,33540.40495508548,38
El Portal,20,33465.17027863777,39
LA ESTRELLA,8,33416.666666666664,40
CASTELLANA,4,33333.333333333336,41
Ciudad Del Rio,4,33333.333333333336,41
FLORIDA NUEVA,24,32625.560888102318,43
ESTADIO,20,32618.163265306117,44
ITAGUI,16,32469.37751004016,45
BUENOS AIRES,36,32394.004144004146,46
La Frontera,4,31333.333333333332,47
Guanteros,4,31250.0,48
Santa Maria De Los Angeles,24,31000.74185123625,49
Alcala,20,30394.419306184012,50
FLORESTA,16,30381.12745098039,51
SAN JOAQUIN,12,30356.04158407119,52
AMERICA,27,29269.841269841272,53
Sector Pantanillo,4,29166.666666666668,54
SURAMERICANA,4,29166.666666666668,54
La America,8,29017.857142857145,56
Guaimaro,16,28874.269005847953,57
Milla De Oro,12,28492.137164703538,58
NIQUIA,20,28193.07568438003,59
Caribe,4,28125.0,60
BOSTON,52,27892.62934520478,61
La Fe,4,27777.777777777777,62
Gualandayes,4,27777.777777777777,62
Barrio Incomar,4,27500.0,64
Las Lomitas,4,26960.78431372549,65
CENTRO,112,26898.24498284834,66
SAN JAVIER,12,26770.37037037037,67
Ciudadela Coltejer,4,26712.328767123287,68
La Magnolia,40,26652.469386964272,69
Las Vegas,12,26609.599063506,70
Loma Del Esmeraldal,16,26576.209223847018,71
Laureles,34,26552.942124163983,72
BELALCAZAR,9,26530.61224489796,73
FLORENCIA,4,26530.61224489796,73
Florida Nueva,7,26315.78947368421,75
Loma El Atravesado,4,26000.0,76
RIONEGRO,16,25869.279529993815,77
